ticker,cik10,form,filing_date,accession,primary_doc,url,local_path
GOOG,0001652044,10-Q,2024-10-30,0001652044-24-000118,goog-20240930.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/goog-20240930.htm,data/raw/sec/filings_raw/GOOG/2024-10-30_10-Q_0001652044-24-000118.htm
GOOG,0001652044,10-K,2025-02-05,0001652044-25-000014,goog-20241231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,data/raw/sec/filings_raw/GOOG/2025-02-05_10-K_0001652044-25-000014.htm
GOOG,0001652044,10-Q,2025-04-25,0001652044-25-000043,goog-20250331.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/goog-20250331.htm,data/raw/sec/filings_raw/GOOG/2025-04-25_10-Q_0001652044-25-000043.htm
GOOG,0001652044,10-Q,2025-07-24,0001652044-25-000062,goog-20250630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm,data/raw/sec/filings_raw/GOOG/2025-07-24_10-Q_0001652044-25-000062.htm
GOOG,0001652044,10-Q,2025-10-30,0001652044-25-000091,goog-20250930.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm,data/raw/sec/filings_raw/GOOG/2025-10-30_10-Q_0001652044-25-000091.htm
MSFT,0000789019,10-Q,2022-01-25,0001564590-22-002324,msft-10q_20211231.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/msft-10q_20211231.htm,data/raw/sec/filings_raw/MSFT/2022-01-25_10-Q_0001564590-22-002324.htm
MSFT,0000789019,10-Q,2022-04-26,0001564590-22-015675,msft-10q_20220331.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/msft-10q_20220331.htm,data/raw/sec/filings_raw/MSFT/2022-04-26_10-Q_0001564590-22-015675.htm
MSFT,0000789019,10-K,2022-07-28,0001564590-22-026876,msft-10k_20220630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,data/raw/sec/filings_raw/MSFT/2022-07-28_10-K_0001564590-22-026876.htm
MSFT,0000789019,10-Q,2022-10-25,0001564590-22-035087,msft-10q_20220930.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/msft-10q_20220930.htm,data/raw/sec/filings_raw/MSFT/2022-10-25_10-Q_0001564590-22-035087.htm
MSFT,0000789019,10-Q,2023-01-24,0001564590-23-000733,msft-10q_20221231.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/msft-10q_20221231.htm,data/raw/sec/filings_raw/MSFT/2023-01-24_10-Q_0001564590-23-000733.htm
