ticker,date,adj_close,ret_1d,log_ret_1d,Volume,filed,Assets,Liabilities,StockholdersEquity,Revenues,NetIncomeLoss,OperatingIncomeLoss,EarningsPerShareBasic,CommonStockSharesOutstanding,price_open,price_close,price_avg,price_min,price_max,price_volume
AAPL,2022-01-03,178.10369873046875,-0.0126916047731859,-0.0127728311832067,104487900,2021-10-29,351002000000.0,287912000000.0,63090000000.0,,94680000000.0,108949000000.0,5.67,16426786000.0,,,178.10369873046875,,,104487900
AAPL,2022-02-01,170.86251831054688,-0.0009723831237685,-0.000972856194934,86213900,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0,,,170.86251831054688,,,86213900
AAPL,2022-03-01,159.9008331298828,-0.0116279607154771,-0.011696094134146,83474400,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0,,,159.9008331298828,,,83474400
AAPL,2022-04-01,170.78622436523438,-0.0017183509824194,-0.001719829040927,78751300,2022-01-28,381191000000.0,309259000000.0,71932000000.0,,34630000000.0,41488000000.0,2.11,16340851000.0,,,170.78622436523438,,,78751300
AAPL,2022-05-02,154.76678466796875,0.0019664344865941,0.0019645035852121,123055300,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0,,,154.76678466796875,,,123055300
AAPL,2022-06-01,145.9178466796875,-0.0008734507741532,-0.0008738324545495,74286600,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0,,,145.9178466796875,,,74286600
AAPL,2022-07-01,136.3214569091797,0.0161642903557601,0.0160350391898152,71051600,2022-04-29,350662000000.0,283263000000.0,67399000000.0,,25010000000.0,29979000000.0,1.54,16207568000.0,,,136.3214569091797,,,71051600
AAPL,2022-08-01,158.4774932861328,-0.0061535152096779,-0.0061725261137783,67829400,2022-07-29,336309000000.0,278202000000.0,58107000000.0,,19442000000.0,23076000000.0,1.2,16095378000.0,,,158.4774932861328,,,67829400
AAPL,2022-09-01,155.20945739746094,0.0047068624203068,0.0046958197806181,74229900,2022-07-29,336309000000.0,278202000000.0,58107000000.0,,19442000000.0,23076000000.0,1.2,16095378000.0,,,155.20945739746094,,,74229900
AAPL,2022-10-03,139.9695281982422,0.0307526470430921,0.030289260676367,114311700,2022-07-29,336309000000.0,278202000000.0,58107000000.0,,19442000000.0,23076000000.0,1.2,16095378000.0,,,139.9695281982422,,,114311700
AAPL,2022-11-01,148.02674865722656,-0.017542607062251,-0.0176983021457192,80379300,2022-10-28,352755000000.0,302083000000.0,50672000000.0,,99803000000.0,119437000000.0,6.15,15943425000.0,,,148.02674865722656,,,80379300
AAPL,2022-12-01,145.96925354003906,0.001891459745055,0.0018896731875177,71250400,2022-10-28,352755000000.0,302083000000.0,50672000000.0,,99803000000.0,119437000000.0,6.15,15943425000.0,,,145.96925354003906,,,71250400
AAPL,2023-01-03,123.09601593017578,-0.0374048155171781,-0.0381223247406194,112117500,2022-10-28,352755000000.0,302083000000.0,50672000000.0,,99803000000.0,119437000000.0,6.15,15943425000.0,,,123.09601593017578,,,112117500
AAPL,2023-02-01,143.1346893310547,0.0079008765714883,0.0078698280791685,77663600,2022-10-28,352755000000.0,302083000000.0,50672000000.0,,99803000000.0,119437000000.0,6.15,15943425000.0,,,143.1346893310547,,,77663600
AAPL,2023-03-01,143.2349090576172,-0.0142462657148083,-0.0143487179635651,55479000,2023-02-03,346747000000.0,290020000000.0,56727000000.0,,29998000000.0,36016000000.0,1.89,15842407000.0,,,143.2349090576172,,,55479000
AAPL,2023-04-03,163.79705810546875,0.007701621450314,0.007672115363473,56976200,2023-02-03,346747000000.0,290020000000.0,56727000000.0,,29998000000.0,36016000000.0,1.89,15842407000.0,,,163.79705810546875,,,56976200
AAPL,2023-05-01,167.16822814941406,-0.0005304090709256,-0.0005305497875773,52472900,2023-02-03,346747000000.0,290020000000.0,56727000000.0,,29998000000.0,36016000000.0,1.89,15842407000.0,,,167.16822814941406,,,52472900
AAPL,2023-06-01,177.76382446289062,0.0160226425276841,0.015895634860407,68901800,2023-05-05,332160000000.0,270002000000.0,62158000000.0,,24160000000.0,28318000000.0,1.53,15723406000.0,,,177.76382446289062,,,68901800
AAPL,2023-07-03,189.9740600585937,-0.0077846982356539,-0.0078151571777213,31458200,2023-05-05,332160000000.0,270002000000.0,62158000000.0,,24160000000.0,28318000000.0,1.53,15723406000.0,,,189.9740600585937,,,31458200
AAPL,2023-08-01,193.08335876464844,-0.0042758054237055,-0.0042849728210536,35175100,2023-05-05,332160000000.0,270002000000.0,62158000000.0,,24160000000.0,28318000000.0,1.53,15723406000.0,,,193.08335876464844,,,35175100
AAPL,2023-09-01,187.26531982421875,0.008463367479554,0.0084277539839908,45766500,2023-08-04,335038000000.0,274764000000.0,60274000000.0,,19881000000.0,22998000000.0,1.27,15647868000.0,,,187.26531982421875,,,45766500
AAPL,2023-10-02,171.7373046875,0.0148354745761305,0.0147265053414317,52164500,2023-08-04,335038000000.0,274764000000.0,60274000000.0,,19881000000.0,22998000000.0,1.27,15647868000.0,,,171.7373046875,,,52164500
AAPL,2023-11-01,171.95474243164062,0.0187385739989029,0.0185651698034406,56934900,2023-08-04,335038000000.0,274764000000.0,60274000000.0,,19881000000.0,22998000000.0,1.27,15647868000.0,,,171.95474243164062,,,56934900
AAPL,2023-12-01,189.2737274169922,0.0067913254013411,0.0067683682321135,45704800,2023-11-03,352583000000.0,290437000000.0,62146000000.0,,96995000000.0,114301000000.0,6.16,15550061000.0,,,189.2737274169922,,,45704800
AAPL,2024-01-02,183.7312927246093,-0.0357867557725405,-0.0364428011295748,82488700,2023-11-03,352583000000.0,290437000000.0,62146000000.0,,96995000000.0,114301000000.0,6.16,15550061000.0,,,183.7312927246093,,,82488700
AAPL,2024-02-01,184.9387664794922,0.0133406518159435,0.0132524489107271,64885400,2023-11-03,352583000000.0,290437000000.0,62146000000.0,,96995000000.0,114301000000.0,6.16,15550061000.0,,,184.9387664794922,,,64885400
AAPL,2024-03-01,178.03968811035156,-0.0060304295183859,-0.0060486859917278,73563100,2024-02-02,353514000000.0,279414000000.0,74100000000.0,,33916000000.0,40373000000.0,2.19,15460223000.0,,,178.03968811035156,,,73563100
AAPL,2024-04-01,168.49655151367188,-0.0084557806758878,-0.0084917336061636,46240500,2024-02-02,353514000000.0,279414000000.0,74100000000.0,,33916000000.0,40373000000.0,2.19,15460223000.0,,,168.49655151367188,,,46240500
AAPL,2024-05-01,167.7731170654297,-0.0060470588150213,-0.006065416318527,50383100,2024-02-02,353514000000.0,279414000000.0,74100000000.0,,33916000000.0,40373000000.0,2.19,15460223000.0,,,167.7731170654297,,,50383100
AAPL,2024-06-03,192.54087829589844,0.0092586327230121,0.0092160343165232,50080500,2024-05-03,337411000000.0,263217000000.0,74194000000.0,,23636000000.0,27900000000.0,1.53,15337686000.0,,,192.54087829589844,,,50080500
AAPL,2024-07-01,215.0865020751953,0.0291045134073193,0.028689019631381,60402900,2024-05-03,337411000000.0,263217000000.0,74194000000.0,,23636000000.0,27900000000.0,1.53,15337686000.0,,,215.0865020751953,,,60402900
AAPL,2024-08-01,216.6841735839844,-0.0167505912223856,-0.01689246896446,62501000,2024-05-03,337411000000.0,263217000000.0,74194000000.0,,23636000000.0,27900000000.0,1.53,15337686000.0,,,216.6841735839844,,,62501000
AAPL,2024-09-03,221.31619262695312,-0.0272051902500114,-0.0275821031566011,50190600,2024-08-02,331612000000.0,264904000000.0,66708000000.0,,21448000000.0,25352000000.0,1.4,15222259000.0,,,221.31619262695312,,,50190600
AAPL,2024-10-01,224.7337646484375,-0.029141473418177,-0.0295745199857898,63285000,2024-08-02,331612000000.0,264904000000.0,66708000000.0,,21448000000.0,25352000000.0,1.4,15222259000.0,,,224.7337646484375,,,63285000
AAPL,2024-11-01,221.4552764892578,-0.0132796967546715,-0.0133686604123755,65276700,2024-11-01,364980000000.0,308030000000.0,56950000000.0,,93736000000.0,123216000000.0,6.11,15116786000.0,,,221.4552764892578,,,65276700
AAPL,2024-12-02,238.28829956054688,0.0095226274479762,0.0094775730296837,48137100,2024-11-01,364980000000.0,308030000000.0,56950000000.0,,93736000000.0,123216000000.0,6.11,15116786000.0,,,238.28829956054688,,,48137100
AAPL,2025-01-02,242.5251617431641,-0.0262359103563508,-0.0265862124346986,55740700,2024-11-01,364980000000.0,308030000000.0,56950000000.0,,93736000000.0,123216000000.0,6.11,15116786000.0,,,242.5251617431641,,,55740700
AAPL,2025-02-03,226.7711944580078,-0.0338560150238587,-0.0344424031065469,73063300,2025-01-31,344085000000.0,277327000000.0,66758000000.0,,36330000000.0,42832000000.0,2.41,15040731000.0,,,226.7711944580078,,,73063300
AAPL,2025-03-03,236.9970703125,-0.0157541788420708,-0.0158795948793386,47184000,2025-01-31,344085000000.0,277327000000.0,66758000000.0,,36330000000.0,42832000000.0,2.41,15040731000.0,,,236.9970703125,,,47184000
AAPL,2025-04-01,222.22146606445312,0.0047720009860401,0.0047606510828451,36412700,2025-01-31,344085000000.0,277327000000.0,66758000000.0,,36330000000.0,42832000000.0,2.41,15040731000.0,,,222.22146606445312,,,36412700
AAPL,2025-05-01,212.3943023681641,0.0038588728690089,0.003851446517865,57365700,2025-01-31,344085000000.0,277327000000.0,66758000000.0,,36330000000.0,42832000000.0,2.41,15040731000.0,,,212.3943023681641,,,57365700
AAPL,2025-06-02,201.08807373046875,0.0042319681852558,0.0042230385921997,35423300,2025-05-02,331233000000.0,264437000000.0,66796000000.0,,24780000000.0,29589000000.0,1.65,14939315000.0,,,201.08807373046875,,,35423300
AAPL,2025-07-01,207.18951416015625,0.0129161548016938,0.0128334526422644,78788900,2025-05-02,331233000000.0,264437000000.0,66796000000.0,,24780000000.0,29589000000.0,1.65,14939315000.0,,,207.18951416015625,,,78788900
AAPL,2025-08-01,201.7660217285156,-0.0250035448214749,-0.0253214437052323,104434500,2025-08-01,331495000000.0,265665000000.0,65830000000.0,,23434000000.0,28202000000.0,1.57,14856722000.0,,,201.7660217285156,,,104434500
AAPL,2025-09-02,229.28298950195312,-0.0104247169086282,-0.0104794348817351,44075600,2025-08-01,331495000000.0,265665000000.0,65830000000.0,,23434000000.0,28202000000.0,1.57,14856722000.0,,,229.28298950195312,,,44075600
AAPL,2025-10-01,254.9640350341797,0.0032203416899188,0.0032151674950931,48713900,2025-08-01,331495000000.0,265665000000.0,65830000000.0,,23434000000.0,28202000000.0,1.57,14856722000.0,,,254.9640350341797,,,48713900
AAPL,2025-11-03,268.53814697265625,-0.0048822578802912,-0.0048942150357827,50194600,2025-10-31,359241000000.0,285508000000.0,73733000000.0,,112010000000.0,133050000000.0,7.49,14773260000.0,,,268.53814697265625,,,50194600
AAPL,2025-12-01,282.8353576660156,0.0152411895738933,0.0151262094613095,46587700,2025-10-31,359241000000.0,285508000000.0,73733000000.0,,112010000000.0,133050000000.0,7.49,14773260000.0,,,282.8353576660156,,,46587700
AAPL,2026-01-02,270.75665283203125,-0.0031265238798289,-0.0031314216669777,37838100,2025-10-31,359241000000.0,285508000000.0,73733000000.0,,112010000000.0,133050000000.0,7.49,14773260000.0,,,270.75665283203125,,,37838100
AAPL,2026-02-02,269.7575988769531,0.0405812241338472,0.0397794264034297,73913400,2026-01-30,379297000000.0,291107000000.0,88190000000.0,,42097000000.0,50852000000.0,2.85,14702703000.0,,,269.7575988769531,,,73913400
AMZN,2022-01-03,170.4044952392578,-0.0169155870059795,-0.0170602896896637,63520000,2021-10-29,382406000000.0,,120564000000.0,,3156000000.0,4852000000.0,6.23,507000000.0,,,170.4044952392578,,,63520000
AMZN,2022-02-01,151.19349670410156,0.0108307628022343,0.0107725301825991,59220000,2021-10-29,382406000000.0,,120564000000.0,,3156000000.0,4852000000.0,6.23,507000000.0,,,151.19349670410156,,,59220000
AMZN,2022-03-01,151.14199829101562,-0.0157655502511202,-0.0158911483698333,44874000,2022-02-04,420549000000.0,,138245000000.0,,33364000000.0,24879000000.0,65.96,509000000.0,,,151.14199829101562,,,44874000
AMZN,2022-04-01,163.55999755859375,0.0034509732261245,0.0034450322821231,57090000,2022-02-04,420549000000.0,,138245000000.0,,33364000000.0,24879000000.0,65.96,509000000.0,,,163.55999755859375,,,57090000
AMZN,2022-05-02,124.5,0.0017580913238786,0.0017565476902947,148788000,2022-04-29,410767000000.0,,134001000000.0,,-3844000000.0,3669000000.0,-7.56,509000000.0,,,124.5,,,148788000
