date,ticker,adj_close,ret_1d,log_ret_1d,Volume,filed,Assets,Liabilities,StockholdersEquity,Revenues,NetIncomeLoss,OperatingIncomeLoss,EarningsPerShareBasic,CommonStockSharesOutstanding,ret_5d,ret_20d,vol_20d,vol_60d,target_ret_1d
2022-01-03,AAPL,178.10369873046875,,,1.1431412177293399,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,,,,,-0.0126916047731859
2022-01-04,AAPL,175.84327697753906,-0.3735851647719438,-0.0127728311832067,1.028699828314594,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,,,,,-0.0266001623559047
2022-01-05,AAPL,171.1658172607422,-0.7663030061323599,-0.0269603483753846,0.9232037658522668,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,,,,,-0.0166934357968332
2022-01-06,AAPL,168.3084716796875,-0.48657965983364543,-0.0168343415311667,0.9755097250818283,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,,,,,0.0009886436081674
2022-01-07,AAPL,168.47486877441406,0.012686206766584801,0.0009881552219422,0.7501657326251615,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,,,,,0.0001161108936924
2022-01-10,AAPL,168.4944305419922,-0.0119503640716965,0.0001161041533443,1.193486587631796,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,-0.7272224663939842,,,,0.0167835927005697
2022-01-11,AAPL,171.32237243652344,0.45866763043865466,0.0166443045518331,0.5165129968983831,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,-0.3585396256539583,,,,0.0025703204274609
2022-01-12,AAPL,171.76272583007812,0.057345956888662605,0.0025670228033361,0.48704668763159464,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,0.006331770641353352,,,,-0.0190279658889391
2022-01-13,AAPL,168.4944305419922,-0.5524967481377474,-0.0192113273551694,0.7014648705686652,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,-0.022869091775837805,,,,0.0051105501849182
2022-01-14,AAPL,169.35552978515625,0.12907111896784332,0.0050975356454607,0.6116137362430367,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,0.028688704480984026,,,,-0.0188940617813466
2022-01-18,AAPL,166.1557159423828,-0.5487158721000799,-0.0190748352180691,0.8440529843254173,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,-0.20909509564562373,,,,-0.0210248135282167
2022-01-19,AAPL,162.66232299804688,-0.6088791364450077,-0.0212489825626392,0.9293353045144881,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,-0.6820117105281287,,,,-0.010347048536815
2022-01-20,AAPL,160.979248046875,-0.30738498127917824,-0.0104009513895364,0.8543046340425702,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,-0.8435852602516443,,,,-0.0127652907088725
2022-01-21,AAPL,158.92430114746094,-0.3756657386509648,-0.0128474671185298,1.5489854188001555,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,-0.765250216760422,,,,-0.004864015435808
2022-01-24,AAPL,158.1512908935547,-0.15256771063634714,-0.0048758832580409,2.4208773964799697,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,-0.890014476320396,,,,-0.011384903020405
2022-01-25,AAPL,156.3507537841797,-0.3366895277799679,-0.0114502071560891,1.393143986435372,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,-0.7960881171834694,,,,-0.0005631134533073
2022-01-26,AAPL,156.26271057128906,-0.031128738088322463,-0.0005632720612336,1.226856392672731,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,-0.5401482641356657,,,,-0.0029432176073957
2022-01-27,AAPL,155.80279541015625,-0.09833264187543549,-0.0029475573897123,1.5292181692485172,2021-10-29,0.6069281439303027,1.7039628178913726,-0.4061169498802766,,3.1522429276158563,3.1369158854736887,0.17271467145371125,1.7470567537048263,-0.44753937078227474,,,,0.0697776409277648
2022-01-28,AAPL,166.67434692382812,1.9549916094680915,0.0674508146608218,2.8108092158531175,2022-01-28,0.7873495913064743,1.926489745536178,-0.31395656433853175,,0.6906160254761023,0.8357254169032473,-0.08181132635078095,1.7316377305318282,0.5849274191655,,,,0.0261256576616495
2022-01-31,AAPL,171.02882385253906,0.7224473619848265,0.025790212603763,1.3874677819348011,2022-01-28,0.7873495913064743,1.926489745536178,-0.31395656433853175,,0.6906160254761023,0.8357254169032473,-0.08181132635078095,1.7316377305318282,0.9725536843109127,,,,-0.0009723831237685
2022-02-01,AAPL,170.86251831054688,-0.04268475319354899,-0.000972856194934,0.7392200298654933,2022-01-28,0.7873495913064743,1.926489745536178,-0.31395656433853175,,0.6906160254761023,0.8357254169032473,-0.08181132635078095,1.7316377305318282,1.102795981013831,-0.3286119132699448,-0.5097801186994274,,0.0070442484072099
2022-02-02,AAPL,172.0661163330078,0.18367043936354074,0.0070195535925153,0.7104941912013883,2022-01-28,0.7873495913064743,1.926489745536178,-0.31395656433853175,,0.6906160254761023,0.8357254169032473,-0.08181132635078095,1.7316377305318282,1.1979506880779682,-0.205862714003817,-0.5136941439943628,,-0.0167200445172603
2022-02-03,AAPL,169.1891632080078,-0.48733097564661493,-0.0168614023496585,0.8100443852421672,2022-01-28,0.7873495913064743,1.926489745536178,-0.31395656433853175,,0.6906160254761023,0.8357254169032473,-0.08181132635078095,1.7316377305318282,1.0256268321976116,-0.1444122896282814,-0.5424748974157041,,-0.001679295806874
2022-02-04,AAPL,168.90504455566406,-0.06264492672616803,-0.0016807074046257,0.6563646849652182,2022-01-28,0.7873495913064743,1.926489745536178,-0.31395656433853175,,0.6906160254761023,0.8357254169032473,-0.08181132635078095,1.7316377305318282,0.1318263258782152,-0.0510302784939607,-0.5619731690426538,,-0.0042344811050971
