ticker,cik10,company_title,concept,unit,value,form,fy,fp,start,end,filed,accn,frame
AAPL,0000320193,Apple Inc.,ComprehensiveIncomeNetOfTax,USD,52983000000.0,10-Q,2023,Q2,2021-09-26,2022-03-26,2023-05-05,0000320193-23-000064,
AAPL,0000320193,Apple Inc.,ComprehensiveIncomeNetOfTax,USD,19443000000.0,10-Q,2022,Q2,2021-12-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,ComprehensiveIncomeNetOfTax,USD,19443000000.0,10-Q,2023,Q2,2021-12-26,2022-03-26,2023-05-05,0000320193-23-000064,CY2022Q1
AAPL,0000320193,Apple Inc.,ContractWithCustomerLiability,USD,12500000000.0,10-Q,2022,Q2,,2022-03-26,2022-04-29,0000320193-22-000059,CY2022Q1I
AAPL,0000320193,Apple Inc.,ContractWithCustomerLiabilityCurrent,USD,7920000000.0,10-Q,2022,Q2,,2022-03-26,2022-04-29,0000320193-22-000059,CY2022Q1I
AAPL,0000320193,Apple Inc.,ContractWithCustomerLiabilityRevenueRecognized,USD,4800000000.0,10-Q,2022,Q2,2021-09-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,ContractWithCustomerLiabilityRevenueRecognized,USD,4800000000.0,10-Q,2023,Q2,2021-09-26,2022-03-26,2023-05-05,0000320193-23-000064,
AAPL,0000320193,Apple Inc.,ContractWithCustomerLiabilityRevenueRecognized,USD,3000000000.0,10-Q,2022,Q2,2021-12-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,ContractWithCustomerLiabilityRevenueRecognized,USD,3000000000.0,10-Q,2023,Q2,2021-12-26,2022-03-26,2023-05-05,0000320193-23-000064,CY2022Q1
AAPL,0000320193,Apple Inc.,CostOfGoodsAndServicesSold,USD,124421000000.0,10-Q,2022,Q2,2021-09-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,CostOfGoodsAndServicesSold,USD,124421000000.0,10-Q,2023,Q2,2021-09-26,2022-03-26,2023-05-05,0000320193-23-000064,
AAPL,0000320193,Apple Inc.,CostOfGoodsAndServicesSold,USD,54719000000.0,10-Q,2022,Q2,2021-12-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,CostOfGoodsAndServicesSold,USD,54719000000.0,10-Q,2023,Q2,2021-12-26,2022-03-26,2023-05-05,0000320193-23-000064,CY2022Q1
AAPL,0000320193,Apple Inc.,DeferredIncomeTaxExpenseBenefit,USD,1088000000.0,10-Q,2022,Q2,2021-09-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,DepreciationDepletionAndAmortization,USD,5434000000.0,10-Q,2022,Q2,2021-09-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,DepreciationDepletionAndAmortization,USD,5434000000.0,10-Q,2023,Q2,2021-09-26,2022-03-26,2023-05-05,0000320193-23-000064,
AAPL,0000320193,Apple Inc.,EarningsPerShareBasic,USD/shares,3.65,10-Q,2022,Q2,2021-09-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,EarningsPerShareBasic,USD/shares,3.65,10-Q,2023,Q2,2021-09-26,2022-03-26,2023-05-05,0000320193-23-000064,
AAPL,0000320193,Apple Inc.,EarningsPerShareBasic,USD/shares,1.54,10-Q,2022,Q2,2021-12-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,EarningsPerShareBasic,USD/shares,1.54,10-Q,2023,Q2,2021-12-26,2022-03-26,2023-05-05,0000320193-23-000064,CY2022Q1
AAPL,0000320193,Apple Inc.,EarningsPerShareDiluted,USD/shares,3.62,10-Q,2022,Q2,2021-09-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,EarningsPerShareDiluted,USD/shares,3.62,10-Q,2023,Q2,2021-09-26,2022-03-26,2023-05-05,0000320193-23-000064,
AAPL,0000320193,Apple Inc.,EarningsPerShareDiluted,USD/shares,1.52,10-Q,2022,Q2,2021-12-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,EarningsPerShareDiluted,USD/shares,1.52,10-Q,2023,Q2,2021-12-26,2022-03-26,2023-05-05,0000320193-23-000064,CY2022Q1
AAPL,0000320193,Apple Inc.,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,USD,19300000000.0,10-Q,2022,Q2,,2022-03-26,2022-04-29,0000320193-22-000059,CY2022Q1I
AAPL,0000320193,Apple Inc.,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,USD,2185000000.0,10-Q,2022,Q2,2021-09-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,USD,2185000000.0,10-Q,2023,Q2,2021-09-26,2022-03-26,2023-05-05,0000320193-23-000064,
AAPL,0000320193,Apple Inc.,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,USD,649000000.0,10-Q,2022,Q2,2021-12-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,USD,649000000.0,10-Q,2023,Q2,2021-12-26,2022-03-26,2023-05-05,0000320193-23-000064,CY2022Q1
AAPL,0000320193,Apple Inc.,GrossProfit,USD,96802000000.0,10-Q,2022,Q2,2021-09-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,GrossProfit,USD,96802000000.0,10-Q,2023,Q2,2021-09-26,2022-03-26,2023-05-05,0000320193-23-000064,
AAPL,0000320193,Apple Inc.,GrossProfit,USD,42559000000.0,10-Q,2022,Q2,2021-12-26,2022-03-26,2022-04-29,0000320193-22-000059,
AAPL,0000320193,Apple Inc.,GrossProfit,USD,42559000000.0,10-Q,2023,Q2,2021-12-26,2022-03-26,2023-05-05,0000320193-23-000064,CY2022Q1
AAPL,0000320193,Apple Inc.,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,USD,71380000000.0,10-Q,2022,Q2,2021-09-26,2022-03-26,2022-04-29,0000320193-22-000059,
