date,AAPL,AMZN,COIN,GOOG,MSFT,NFLX,NIO,TSLA
2022-01-03,178.27032470703125,170.4044952392578,251.0500030517578,143.9945068359375,323.8983459472656,59.73699951171875,33.470001220703125,399.9266662597656
2022-01-04,176.0077667236328,167.52200317382812,250.14999389648438,143.3414306640625,318.344482421875,59.1150016784668,31.579999923706055,383.1966552734375
2022-01-05,171.32598876953125,164.35699462890625,234.22999572753906,136.62876892089844,306.1239318847656,56.75199890136719,29.8799991607666,362.7066650390625
2022-01-06,168.4659881591797,163.25399780273438,234.0,136.5270233154297,303.7049255371094,55.32899856567383,29.309999465942383,354.8999938964844
2022-01-07,168.6324920654297,162.5540008544922,232.3300018310547,135.98458862304688,303.8597412109375,54.10599899291992,29.299999237060547,342.32000732421875
2022-01-10,168.65208435058594,161.48599243164062,225.00999450683594,137.54241943359375,304.0823059082031,53.98500061035156,28.90999984741211,352.7066650390625
2022-01-11,171.48269653320312,165.36199951171875,237.22999572753906,138.97515869140625,304.769287109375,54.08399963378906,30.020000457763672,354.79998779296875
2022-01-12,171.92347717285156,165.20700073242188,234.6999969482422,140.59353637695312,307.9526062011719,53.72200012207031,31.68000030517578,368.739990234375
2022-01-13,168.65208435058594,161.21400451660156,228.22999572753906,138.0952606201172,294.9193115234375,51.91999816894531,30.479999542236328,343.85333251953125
2022-01-14,169.51402282714844,162.13800048828125,230.02999877929688,138.7458953857422,300.144287109375,52.569000244140625,30.950000762939453,349.8699951171875
2022-01-18,166.31121826171875,158.91749572753906,222.0,135.2759246826172,292.8389587402344,51.08000183105469,29.610000610351562,343.5033264160156
2022-01-19,162.8145294189453,156.2989959716797,219.5,134.64215087890625,293.4969177246094,51.58599853515625,28.6299991607666,331.8833312988281
2022-01-20,161.1298828125,151.66749572753906,221.6199951171875,132.5126190185547,291.82305908203125,50.82500076293945,29.1299991607666,332.0899963378906
2022-01-21,159.07301330566406,142.64300537109375,191.97000122070312,129.12353515625,286.43353271484375,39.75,27.350000381469727,314.6333312988281
2022-01-24,158.2992401123047,144.54400634765625,191.47999572753906,129.4014434814453,286.76251220703125,38.71500015258789,24.8700008392334,310.0
2022-01-25,156.4970703125,139.98599243164062,185.6300048828125,125.79203033447266,279.13800048828125,36.641998291015625,23.790000915527344,306.1333312988281
2022-01-26,156.40890502929688,138.87249755859375,178.63999938964844,128.27789306640625,287.0915222167969,35.970001220703125,22.65999984741211,312.4700012207031
2022-01-27,155.9486083984375,139.6374969482422,170.1999969482422,128.15977478027344,290.12005615234375,38.66999816894531,21.110000610351562,276.3666687011719
2022-01-28,166.83030700683594,143.97799682617188,177.5800018310547,132.29725646972656,298.2671203613281,38.43600082397461,20.899999618530273,282.1166687011719
2022-01-31,171.1888427734375,149.57350158691406,190.14999389648438,134.68833923339844,300.89892578125,42.7140007019043,24.510000228881836,312.239990234375
2022-02-01,171.02235412597656,151.19349670410156,197.72999572753906,136.85208129882812,298.7508850097656,45.7130012512207,24.84000015258789,310.4166564941406
2022-02-02,172.2270965576172,150.6125030517578,187.3699951171875,146.93446350097656,303.2985534667969,42.948001861572266,23.760000228881836,301.88665771484375
2022-02-03,169.34751892089844,138.8455047607422,181.30999755859375,141.58856201171875,291.484375,40.560001373291016,23.1299991607666,297.0466613769531
2022-02-04,169.06307983398438,157.63949584960938,194.44000244140625,141.9513397216797,296.0223388671875,41.016998291015625,23.959999084472656,307.7733459472656
2022-02-07,168.34719848632812,157.9355010986328,205.74000549316406,137.90370178222656,291.1940612792969,40.209999084472656,23.989999771118164,302.4466552734375
2022-02-08,171.45603942871094,161.4134979248047,208.72999572753906,138.17665100097656,294.6870422363281,40.35300064086914,24.690000534057617,307.3333435058594
2022-02-09,172.8780517578125,161.1894989013672,214.5,140.3999786376953,301.12139892578125,41.28900146484375,26.100000381469727,310.6666564941406
2022-02-10,168.79827880859375,159.0034942626953,204.77000427246094,137.57069396972656,292.5777282714844,40.62699890136719,25.350000381469727,301.51666259765625
2022-02-11,165.38546752929688,153.2935028076172,194.52999877929688,133.13150024414062,285.47564697265625,39.13100051879883,24.100000381469727,286.6666564941406
2022-02-14,165.62081909179688,155.16700744628906,195.25,134.29278564453125,285.43695068359375,39.65700149536133,23.790000915527344,291.9200134277344
2022-02-15,169.4553985595703,156.510498046875,208.9499969482422,135.409912109375,290.7296142578125,40.74599838256836,25.790000915527344,307.4766540527344
2022-02-16,169.2200164794922,158.10049438476562,207.9600067138672,136.46400451660156,290.3903503417969,39.80799865722656,25.610000610351562,307.7966613769531
2022-02-17,165.62081909179688,154.65249633789062,191.9199981689453,131.32354736328125,281.88702392578125,38.66699981689453,24.719999313354492,292.1166687011719
2022-02-18,164.0713348388672,152.60150146484375,189.16000366210938,129.49624633789062,279.17218017578125,39.12900161743164,23.209999084472656,285.6600036621094
2022-02-22,161.14886474609375,150.19749450683594,176.75999450683594,128.43917846679688,278.9686279296875,37.737998962402344,21.770000457763672,273.84332275390625
2022-02-23,156.98086547851562,144.82699584960938,172.74000549316406,126.63521575927734,271.7451477050781,36.74599838256836,20.459999084472656,254.67999267578125
2022-02-24,159.59934997558594,151.35800170898438,179.55999755859375,131.68582153320312,285.6296081542969,39.00299835205078,21.219999313354492,266.92333984375
2022-02-25,161.66860961914062,153.7884979248047,176.8300018310547,133.51808166503906,288.26690673828125,39.08000183105469,20.940000534057617,269.9566650390625
2022-02-28,161.93338012695312,153.56300354003906,190.77000427246094,133.8868408203125,289.70196533203125,39.45199966430664,22.84000015258789,290.1433410644531
2022-03-01,160.05043029785156,151.14199829101562,196.1699981689453,133.16920471191406,285.9787292480469,38.624000549316406,21.8700008392334,288.1233215332031
2022-03-02,163.34559631347656,152.05250549316406,194.5,133.74835205078125,291.05926513671875,38.00299835205078,21.770000457763672,293.2966613769531
2022-03-03,163.02197265625,147.89849853515625,178.02999877929688,133.30816650390625,286.919189453125,36.80699920654297,19.8799991607666,279.7633361816406
2022-03-04,160.02102661132812,145.64100646972656,165.75,131.13845825195312,281.04345703125,36.17300033569336,18.6299991607666,279.42999267578125
2022-03-07,156.22572326660156,137.4530029296875,161.13999938964844,125.5230484008789,270.4265441894531,35.0260009765625,18.1200008392334,268.1933288574219
2022-03-08,154.401611328125,136.01449584960938,161.99000549316406,126.33099365234375,267.45965576171875,34.17599868774414,17.979999542236328,274.79998779296875
2022-03-09,159.80526733398438,139.2790069580078,178.97000122070312,132.86944580078125,279.7248840332031,35.87900161743164,20.170000076293945,286.3233337402344
