date,Open,High,Low,Close,Adj Close,Volume,ticker
2022-01-03,177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683594,178.27032470703125,104487900,AAPL
2022-01-03,167.5500030517578,170.70350646972656,166.16050720214844,170.4044952392578,170.4044952392578,63520000,AMZN
2022-01-03,256.2699890136719,261.6300048828125,250.63999938964844,251.0500030517578,251.0500030517578,3350900,COIN
2022-01-03,144.47549438476562,145.5500030517578,143.50250244140625,145.07449340820312,143.9945068359375,25214000,GOOG
2022-01-03,335.3500061035156,338.0,329.7799987792969,334.75,323.8983459472656,28865100,MSFT
2022-01-03,60.56100082397461,60.999000549316406,59.055999755859375,59.73699951171875,59.73699951171875,30675000,NFLX
2022-01-03,33.52000045776367,33.79999923706055,31.8799991607666,33.470001220703125,33.470001220703125,64286500,NIO
2022-01-03,382.5833435058594,400.3566589355469,378.67999267578125,399.9266662597656,399.9266662597656,103931400,TSLA
2022-01-04,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,176.0077667236328,99310400,AAPL
2022-01-04,170.43800354003906,171.39999389648438,166.34950256347656,167.52200317382812,167.52200317382812,70726000,AMZN
2022-01-04,253.0500030517578,258.80999755859375,244.13999938964844,250.14999389648438,250.14999389648438,3652600,COIN
2022-01-04,145.55050659179688,146.61000061035156,143.81614685058594,144.41650390625,143.3414306640625,22928000,GOOG
2022-01-04,334.8299865722656,335.20001220703125,326.1199951171875,329.010009765625,318.344482421875,32674300,MSFT
2022-01-04,59.99100112915039,60.04100036621094,58.15999984741211,59.1150016784668,59.1150016784668,43931000,NFLX
2022-01-04,33.349998474121094,33.38999938964844,31.110000610351562,31.579999923706055,31.579999923706055,47866800,NIO
2022-01-04,396.51666259765625,402.6666564941406,374.3500061035156,383.1966552734375,383.1966552734375,100248300,TSLA
2022-01-05,179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,171.32598876953125,94537600,AAPL
2022-01-05,166.88299560546875,167.12649536132812,164.35699462890625,164.35699462890625,164.35699462890625,64302000,AMZN
2022-01-05,247.72000122070312,248.69000244140625,232.86000061035156,234.22999572753906,234.22999572753906,5196300,COIN
2022-01-05,144.18099975585938,144.29800415039062,137.52349853515625,137.65350341796875,136.62876892089844,49642000,GOOG
2022-01-05,325.8599853515625,326.07000732421875,315.9800109863281,316.3800048828125,306.1239318847656,40054300,MSFT
2022-01-05,59.20000076293945,59.284000396728516,56.6879997253418,56.75199890136719,56.75199890136719,41487000,NFLX
2022-01-05,30.969999313354492,31.940000534057617,29.780000686645508,29.8799991607666,29.8799991607666,42442700,NIO
2022-01-05,382.2166748046875,390.11334228515625,360.336669921875,362.7066650390625,362.7066650390625,80119800,TSLA
2022-01-06,172.6999969482422,175.3000030517578,171.63999938964844,172.0,168.4659881591797,96904000,AAPL
2022-01-06,163.45050048828125,164.8000030517578,161.93699645996094,163.25399780273438,163.25399780273438,51958000,AMZN
2022-01-06,233.19000244140625,235.97999572753906,224.8800048828125,234.0,234.0,5236000,COIN
2022-01-06,137.49749755859375,139.68600463867188,136.7635040283203,137.55099487304688,136.5270233154297,29050000,GOOG
2022-01-06,313.1499938964844,318.70001220703125,311.489990234375,313.8800048828125,303.7049255371094,39646100,MSFT
2022-01-06,55.433998107910156,56.33599853515625,54.20100021362305,55.32899856567383,55.32899856567383,57118000,NFLX
2022-01-06,30.010000228881836,30.540000915527344,28.280000686645508,29.309999465942383,29.309999465942383,48723200,NIO
2022-01-06,359.0,362.6666564941406,340.1666564941406,354.8999938964844,354.8999938964844,90336600,TSLA
